"home_ID","ADDRESS","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","BLOCK","LOT","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","lat","lon","num_schools","num_food","num_parks","num_subway","neighborhood_ord"
40,"15 EAST 90TH STREET, Manhattan","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1502,11,10128,1,0,"1","2,567","8,542",1899,1,"A7",14300000,"1/16/20",40.7838284,-73.9574383181829,0,0,13,0,15
41,"15 EAST 92ND STREET, Manhattan","UPPER EAST SIDE (79-96)","02 TWO FAMILY DWELLINGS",1504,10,10128,2,0,"2","1,971","4,590",1899,1,"B1",9250000,"6/25/19",40.7851161,-73.9566179362931,0,0,17,1,15
42,"15 WEST 76TH STREET, Manhattan","UPPER WEST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1129,21,10023,1,0,"1","2,554","8,204",1910,1,"A4",16500000,"6/27/19",40.7794124,-73.9750107519404,0,1,4,2,8
43,"154 EAST END AVE, Manhattan","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1583,126,10028,1,0,"1","725","2,584",1899,1,"A4",3845000,"6/12/19",40.77555815,-73.94459205,0,0,15,0,15
44,"158 EAST 95TH STREET, Manhattan","UPPER EAST SIDE (79-96)","02 TWO FAMILY DWELLINGS",1523,49,10128,2,0,"2","1,888","3,456",1899,1,"B1",4650000,"7/8/19",40.78486045,-73.95108495,2,5,27,2,15
45,"159 EAST 78TH STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1413,124,10075,1,0,"1","1,839","2,052",1899,1,"A4",7225000,"12/5/19",40.77421225,-73.9587811,0,0,12,1,15
46,"159 EAST 82ND STREET, Manhattan","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1511,27,10028,1,0,"1","1,572","3,420",1899,1,"A4",6950000,"10/18/19",40.77676185,-73.9567086638789,0,0,12,3,15
47,"159 EAST 82ND STREET, Manhattan","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1511,27,10028,1,0,"1","1,572","3,420",1899,1,"A4",6950000,"10/18/19",40.77676185,-73.9567086638789,0,0,12,3,15
48,"159 EAST 82ND STREET, Manhattan","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1511,27,10028,1,0,"1","1,572","3,420",1899,1,"A4",6950000,"10/18/19",40.77676185,-73.9567086638789,0,0,12,3,15
49,"16 LEROY STREET, Manhattan","GREENWICH VILLAGE-WEST","03 THREE FAMILY DWELLINGS",586,15,10014,3,0,"3","1,600","2,216",1899,1,"C0",5600000,"6/24/19",40.7306283,-74.003336001967,2,0,42,5,12
50,"16 SUTTON SQUARE, Manhattan","MIDTOWN EAST","02 TWO FAMILY DWELLINGS",1372,43,10022,2,0,"2","2,568","4,000",1899,1,"B1",1.3e+07,"6/27/19",40.7575869,-73.95955415,0,0,16,0,13
51,"160 EAST 61ST STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1395,45,10065,1,0,"1","1,908","4,750",1899,1,"A4",9995000,"6/27/19",40.76297665,-73.9665430357,1,0,23,3,15
52,"160 EAST 71ST STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1405,145,10021,1,0,"1","1,632","4,314",1910,1,"A4",8200000,"4/16/19",40.76927115,-73.9620825209818,4,0,17,2,15
53,"162 W. 228TH ST, Manhattan","INWOOD","02 TWO FAMILY DWELLINGS",2215,320,10463,2,0,"2","3,000","1,850",1901,1,"B3",642000,"2/11/20",40.8774314,-73.909747226875,7,0,17,2,4
54,"164 EAST 81ST STREET, Manhattan","UPPER EAST SIDE (79-96)","02 TWO FAMILY DWELLINGS",1509,43,10028,2,0,"2","2,087","4,160",1899,1,"B3",8750000,"6/19/19",40.7757327,-73.957105,0,0,11,2,15
55,"167 CROSBY STREET, Manhattan","GREENWICH VILLAGE-CENTRAL","02 TWO FAMILY DWELLINGS",522,31,10012,2,1,"3","2,952","8,509",1900,1,"S2",2350000,"10/29/19",40.7258923,-73.995136,1,0,31,4,12
56,"167 EAST 69TH STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1404,32,10021,1,0,"1","2,510","4,822",1910,1,"A4",1.1e+07,"2/24/20",40.7681866,-73.96238975,4,0,20,2,15
57,"168 EAST 93RD STREET, Manhattan","UPPER EAST SIDE (79-96)","03 THREE FAMILY DWELLINGS",1521,46,10128,3,0,"3","2,013","3,650",1901,1,"C0",5775000,"5/29/19",40.7835489,-73.9517238,1,0,21,2,15
58,"169 1 AVENUE, Manhattan","EAST VILLAGE","01 ONE FAMILY DWELLINGS",452,34,10003,1,1,"2","2,317","2,760",1901,1,"S1",1.4e+07,"11/25/19",40.7704516,-73.9540664,1,1,13,1,7
59,"17 ST LUKES PLACE, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",583,44,10014,1,0,"1","1,392","3,024",1910,1,"A4",7100000,"1/23/20",40.7302048,-74.0053335,2,0,37,5,12
60,"18 VAN CORLEAR PLACE, Manhattan","INWOOD","02 TWO FAMILY DWELLINGS",2215,361,10463,2,0,"2","2,800","3,312",1925,1,"B1",1100000,"11/27/19",40.8761982,-73.9115285,7,0,14,1,4
61,"182 EAST 75TH STREET, Manhattan","UPPER EAST SIDE (59-79)","02 TWO FAMILY DWELLINGS",1409,46,10021,2,0,"2","1,839","4,320",1920,1,"B3",11125000,"6/3/19",40.7719179,-73.9601913350517,0,0,11,2,15
