"query","lat","lon"
"41 HARRISON STREET, Manhattan",40.7184765,-74.0110205289197
"36 EAST 64TH STREET, Manhattan",40.76628635,-73.9686249330939
"46 EAST 66TH STREET, Manhattan",40.76761915,-73.9678541162774
"14 EAST 67TH STREET, Manhattan",40.76864845,-73.9684809037489
"49 EAST 67TH STREET, Manhattan",40.76829935,-73.966607
"8 EAST 75TH STREET, Manhattan",40.77391825,-73.9648991928279
"160 EAST 61ST STREET, Manhattan",40.76297665,-73.9665430357
"158 EAST 61ST STREET, Manhattan",40.7629909,-73.9666095583379
"158 EAST 61ST ST, Manhattan",40.7629909,-73.9666095583379
"140 EAST 65TH STREET, Manhattan",40.76555975,-73.9648922053204
"167 EAST 69TH STREET, Manhattan",40.7681866,-73.96238975
"160 EAST 71ST STREET, Manhattan",40.76927115,-73.9620825209818
"134 EAST 74TH STREET, Manhattan",40.7718338571429,-73.9616934761905
"106 EAST 78TH STREET, Manhattan",40.7745662,-73.9605612037626
"159 EAST 78TH STREET, Manhattan",40.77421225,-73.9587811
"221 EAST 59TH STREET, Manhattan",40.7613252,-73.965456016015
"215 EAST 61ST STREET, Manhattan",40.762617,-73.9647753648586
"234 EAST 68TH STREET, Manhattan",40.76653675,-73.9613833
"235 EAST 72ND STREET, Manhattan",40.76934885,-73.9590728267174
"212 EAST 78TH STREET, Manhattan",40.7731874,-73.95726395
"314 EAST 69TH STREET, Manhattan",40.7665026,-73.959351845143
"42 EAST 65TH STREET, Manhattan",40.7669772,-73.9680685
"38 EAST 74TH STREET, Manhattan",40.7729012352941,-73.9642291176471
"26 EAST 78TH STREET, Manhattan",40.77565675,-73.9631110752475
"128 EAST 73RD STREET, Manhattan",40.77118365,-73.9623851997146
"132 EAST 74TH STREET, Manhattan",40.7717791,-73.9617969122934
"182 EAST 75TH STREET, Manhattan",40.7719179,-73.9601913350517
"1129 LEXINGTON AVENUE, Manhattan",40.7744718,-73.9589512919014
"219 EAST 59TH STREET, Manhattan",40.76135395,-73.9655245503756
"237 EAST 61ST STREET, Manhattan",40.7623678,-73.9641937979549
"255 EAST 78TH STREET, Manhattan",40.7730108,-73.9561021
"226 EAST 79TH STREET, Manhattan",40.77361855,-73.956280005045
"807 PARK AVENUE, Manhattan",40.7726269,-73.9622755852759
"51 EAST 80TH STREET, Manhattan",40.77692195,-73.9609780231171
"46 EAST 82ND STREET, Manhattan",40.77774715,-73.9599841285156
"60 EAST 83RD STREET, Manhattan",40.77838965,-73.9595186490443
"9 EAST 84TH STREET, Manhattan",40.7800708,-73.9604108227554
"15 EAST 90TH STREET, Manhattan",40.7838284,-73.9574383181829
"3 EAST 94TH ST, Manhattan",40.78653025,-73.9559958181455
"134 EAST 80TH STREET, Manhattan",40.7756644,-73.958880870309
"105 EAST 80TH STREET, Manhattan",40.77625005,-73.959332969493
"159 EAST 82ND STREET, Manhattan",40.77676185,-73.9567086638789
"159 EAST 82ND STREET, Manhattan",40.77676185,-73.9567086638789
"159 EAST 82ND STREET, Manhattan",40.77676185,-73.9567086638789
"128 EAST 92ND STREET, Manhattan",40.78336895,-73.953399134434
"125 EAST 92ND STREET, Manhattan",40.78365865,-73.9531871171478
"129 EAST 94TH STREET, Manhattan",40.78496275,-73.9523904
"116 EAST 95TH STREET, Manhattan",40.7854848,-73.9525869305107
"143 EAST 95TH STREET, Manhattan",40.7854531,-73.9515455355831
"154 EAST END AVE, Manhattan",40.77555815,-73.94459205
"6 EAST 80TH STREET, Manhattan",40.7771805,-73.9626871345927
"12 EAST 81ST STREET, Manhattan",40.77780575,-73.9620607070807
"15 EAST 92ND STREET, Manhattan",40.7851161,-73.9566179362931
"16 EAST 94TH STREET, Manhattan",40.7860437,-73.9559078815789
"164 EAST 81ST STREET, Manhattan",40.7757327,-73.957105
"121 EAST 91ST STREET, Manhattan",40.7831266,-73.9538620230047
"158 EAST 95TH STREET, Manhattan",40.78486045,-73.95108495
"168 EAST 93RD STREET, Manhattan",40.7835489,-73.9517238
"310 EAST 81ST STREET, Manhattan",40.77426975,-73.9535986445941
"22 WEST 74TH STREET, Manhattan",40.7778484,-73.9762552032363
"15 WEST 76TH STREET, Manhattan",40.7794124,-73.9750107519404
"131 WEST 69TH STREET, Manhattan",40.77609525,-73.981208650439
"161 WEST 73RD STREET, Manhattan",40.77909405,-73.9802111948422
"119 WEST 78TH STREET, Manhattan",40.7818068,-73.9767920647685
"327 WEST 76TH STREET, Manhattan",40.7830459,-73.983656660112
"325 WEST 76TH STREET, Manhattan",40.783025,-73.9835850655824
"33 WEST 74TH STREET, Manhattan",40.7783342,-73.9763850468807
"331 WEST 70TH STREET, Manhattan",40.77916935,-73.9865204125307
"332 WEST 71ST STREET, Manhattan",40.7794642,-73.9862530448422
"248 CENTRAL PARK WEST, Manhattan",40.78457295,-73.9702304543436
"45 WEST 88TH STREET, Manhattan",40.7874419,-73.969885213526
"116 WEST 80TH STREET, Manhattan",40.78287565,-73.9760392414117
"132 WEST 81ST STREET, Manhattan",40.7836617,-73.9759245450676
"128 WEST 95TH STREET, Manhattan",40.79248435,-73.9692828507746
"272 WEST 91ST STREET, Manhattan",40.7917939,-73.9751949099693
"313 WEST 80TH STREET, Manhattan",40.7854463,-73.9812129524264
"323 WEST 88TH STREET, Manhattan",40.79076465,-73.9777844203251
"43 WEST 94TH STREET, Manhattan",40.79107825,-73.9668913086524
"43 WEST 94TH STREET, Manhattan",40.79107825,-73.9668913086524
"153 WEST 88TH STREET, Manhattan",40.7886111,-73.9726900026821
"131 WEST 94TH STREET, Manhattan",40.79221675,-73.9695618
"37 WEST 88TH STREET, Manhattan",40.78733105,-73.9696236504013
"565 WEST 159TH STREET, Manhattan",40.8350469,-73.9429696
"636 WEST 158TH STREET, Manhattan",40.83555815,-73.9470021141416
"14 SYLVAN TERRACE, Manhattan",40.8345993,-73.9393253150382
"427 WEST 162ND STREET, Manhattan",40.83534795,-73.9382683849378
"857 RIVERSIDE DRIVE, Manhattan",40.8367596,-73.9472646507261
"944 SAINT NICHOLAS AVENUE, Manhattan",40.8326628,-73.9405291175549
"503 WEST 168TH STREET, Manhattan",40.8402447,-73.9373043517277
"286 WADSWORTH AVENUE, Manhattan",40.85397865,-73.9322456358587
"392 AUDUBON AVENUE, Manhattan",40.8509386,-73.93097315
"432 AUDUBON AVENUE, Manhattan",40.85228865,-73.9300244029547
"432 AUDUBON AVENUE, Manhattan",40.85228865,-73.9300244029547
"605 WEST 187TH STREET, Manhattan",40.8534581,-73.9314481917186
"384 AUDUBON AVENUE, Manhattan",40.85076515,-73.9311
